,CustomerID,BikeBuyer,AvgMonthSpend,MiddleName,AddressLine1,AddressLine2,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,LastUpdated
0,21173,1,50.97,C,7090 C. Mount Hood,0,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0115,1987-11-13,Bachelors,Clerical,M,M,1,3,0,1,81916,2017-03-06
1,13249,1,53.11,A,3651 Willow Lake Rd,0,Shawnee,British Columbia,Canada,V9B 2C3,787-555-0136,1972-07-21,Partial College,Clerical,M,M,1,2,1,2,81076,2017-03-06
2,29350,1,54.08,A,1774 Tice Valley Blvd.,0,West Covina,California,United States,91791,120-555-0111,1985-11-09,Bachelors,Clerical,F,S,0,3,0,0,86387,2017-03-06
3,13503,1,56.93,A,2103 Baldwin Dr,0,Liverpool,England,United Kingdom,L4 4HB,1 (11) 500 555-0167,1977-10-18,Partial College,Skilled Manual,M,M,1,2,1,2,61481,2017-03-06
4,22803,1,55.41,J,Am Gallberg 234,0,Werne,Nordrhein-Westfalen,Germany,59368,1 (11) 500 555-0113,1975-02-05,Partial College,Skilled Manual,M,S,1,1,0,0,51804,2017-03-06
5,22092,1,49.31,A,9384 Ashmount Way,0,Tacoma,Washington,United States,98403,639-555-0165,1975-02-23,High School,Skilled Manual,F,M,1,2,2,2,61944,2017-03-06
6,11229,0,56.01,C,6898 Shaw Rd.,0,Redwood City,California,United States,94063,812-555-0122,1971-12-03,Partial College,Manual,M,S,1,1,0,0,34919,2017-03-06
7,24179,1,49.29,R,6270 Pinecreek Way,0,Lavender Bay,New South Wales,Australia,2060,1 (11) 500 555-0113,1997-03-07,Partial College,Skilled Manual,F,M,0,1,0,0,61832,2017-03-06
8,12127,1,50.05,A,"8188, rue Lamarck",0,Dunkerque,Nord,France,59140,1 (11) 500 555-0178,1976-12-14,Partial College,Clerical,F,M,1,0,0,2,83834,2017-03-06
9,19903,0,54.15,N,"5, rue des Bouchers",0,Metz,Moselle,France,57000,1 (11) 500 555-0181,1976-12-04,High School,Manual,M,S,0,1,0,0,26880,2017-03-06
10,25924,0,54.02,A,536 Beech Ct.,0,Redwood City,California,United States,94063,609-555-0161,1998-11-20,Partial College,Clerical,F,S,0,1,0,0,77258,2017-03-06
11,23033,0,58.29,J,9973 Mcnutt Ave,0,Lakewood,California,United States,90712,668-555-0160,1981-04-21,Bachelors,Management,M,M,1,3,0,0,102698,2017-03-06
12,20029,1,52.66,M,7787 Olive St.,0,Los Angeles,California,United States,90012,163-555-0164,1984-10-24,Bachelors,Management,F,M,1,1,1,2,108198,2017-03-06
13,22031,0,52.5,A,7952 Quartermaster,0,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0191,1960-08-12,Bachelors,Professional,M,M,1,2,0,2,133762,2017-03-06
14,23737,1,49.04,A,9613 Camino Royale,0,Beverly Hills,California,United States,90210,545-555-0171,1971-03-14,Partial College,Skilled Manual,F,M,1,2,0,2,56353,2017-03-06
15,17127,1,50.48,A,9442 Lacanda,0,Puyallup,Washington,United States,98371,133-555-0124,1965-06-02,High School,Clerical,F,S,1,3,1,1,79019,2017-03-06
16,28130,1,51.0,M,1145 Paraiso Ct.,0,Langley,British Columbia,Canada,V3A 4R2,926-555-0140,1993-02-02,Partial College,Skilled Manual,M,S,0,2,0,0,55387,2017-03-06
17,28455,0,58.69,E,Zollstr 68,Verkaufsabteilung,Darmstadt,Hessen,Germany,64283,1 (11) 500 555-0165,1981-06-06,Bachelors,Management,M,M,1,2,0,2,113276,2017-03-06
18,20161,0,52.3,G,"87, rue de la Comédie",0,Orly,Val de Marne,France,94310,1 (11) 500 555-0118,1963-06-20,Partial College,Management,M,S,1,1,0,1,109259,2017-03-06
19,21325,0,50.38,A,8273 Glacier Drive,0,El Cajon,California,United States,92020,848-555-0112,1980-07-10,High School,Clerical,F,M,1,0,0,2,83845,2017-03-06
20,12128,1,53.22,E,Altendorfer Straße 903,0,Berlin,Hessen,Germany,12171,1 (11) 500 555-0146,1976-12-16,High School,Skilled Manual,F,M,1,0,2,2,59527,2017-03-06
21,23679,0,51.88,G,7987 Seawind Dr.,0,Oak Bay,British Columbia,Canada,V8P,518-555-0167,1961-11-05,Bachelors,Management,M,S,1,1,0,1,108360,2017-03-06
22,26799,0,49.72,G,1104 O St.,0,Coronado,California,United States,92118,696-555-0187,1996-09-19,Partial College,Clerical,M,M,0,1,0,0,87504,2017-03-06
23,15726,1,48.76,F,6176 Crow Street,0,Hervey Bay,Queensland,Australia,4655,1 (11) 500 555-0195,1993-02-27,Bachelors,Skilled Manual,F,M,0,0,0,0,55461,2017-03-06
24,15473,1,52.03,A,4838 Second Street,0,Coronado,California,United States,92118,135-555-0132,1989-04-15,Bachelors,Professional,F,S,1,2,0,0,137464,2017-03-06
25,28685,1,49.89,J,"24, boulevard Tremblay",0,Drancy,Seine Saint Denis,France,93700,1 (11) 500 555-0189,1990-03-16,High School,Clerical,M,M,1,2,0,1,87676,2017-03-06
26,12302,1,51.15,A,Reiherweg 5,0,Frankfurt,Hessen,Germany,60323,1 (11) 500 555-0167,1966-03-02,Bachelors,Management,M,M,1,3,0,2,104187,2017-03-06
27,23523,1,53.53,V,8358 Azalea Avenue,0,Findon,South Australia,Australia,5023,1 (11) 500 555-0135,1983-08-19,Bachelors,Clerical,M,S,0,1,0,0,78222,2017-03-06
28,18713,0,50.59,A,5673 Arlington Circle,0,Newcastle,New South Wales,Australia,2300,1 (11) 500 555-0178,1986-11-15,Graduate Degree,Clerical,F,M,1,2,0,1,77383,2017-03-06
29,24082,1,49.29,A,"56, avenue de l´Europe",0,Morangis,Essonne,France,91420,1 (11) 500 555-0119,1984-12-13,High School,Skilled Manual,F,M,1,1,2,2,60700,2017-03-06
30,27886,0,49.0,P,"80, avenue de Malakoff",0,Pantin,Seine Saint Denis,France,93500,1 (11) 500 555-0116,1980-09-24,High School,Manual,F,S,0,0,0,0,30913,2017-03-06
31,21711,1,54.71,J,44 Garcia,0,West Covina,California,United States,91791,643-555-0126,1978-11-11,Partial College,Clerical,F,S,1,2,0,0,86952,2017-03-06
32,22366,1,55.64,C,1695 Valley High Dr,0,Sooke,British Columbia,Canada,V0,154-555-0134,1978-07-16,Graduate Degree,Skilled Manual,M,M,1,2,1,2,58567,2017-03-06
33,15010,0,50.55,J,9342 Temple Drive,0,Berkeley,California,United States,94704,109-555-0114,1997-09-12,Partial College,Clerical,M,M,0,0,0,0,77478,2017-03-06
34,22296,0,50.16,M,4137 Garcia Ranch Road,0,Lemon Grove,California,United States,91945,913-555-0137,1988-03-23,Bachelors,Clerical,M,M,1,2,0,1,78406,2017-03-06
35,23237,0,51.02,C,Helsenbergbogen 2,0,Kassel,Hessen,Germany,34117,1 (11) 500 555-0192,1990-12-27,Partial College,Clerical,M,S,0,1,0,0,85318,2017-03-06
36,13832,1,52.17,R,"51, rue Henri Gagnon",0,Courbevoie,Hauts de Seine,France,92400,1 (11) 500 555-0125,1996-04-27,High School,Skilled Manual,F,S,0,0,0,0,52928,2017-03-06
37,26026,1,52.31,E,9099 Warmcastle Ct.,0,Townsville,Queensland,Australia,4810,1 (11) 500 555-0153,1987-05-14,Bachelors,Clerical,F,S,0,2,0,0,79224,2017-03-06
38,17813,1,53.13,K,2080 Mountain View Dr.,0,Woolston,England,United Kingdom,WA1 4SY,1 (11) 500 555-0187,1983-07-03,Partial College,Manual,M,M,0,0,0,1,33076,2017-03-06
39,26369,0,48.89,J,"1101, rue Lauriston",0,Sèvres,Hauts de Seine,France,92310,1 (11) 500 555-0171,1985-09-24,High School,Skilled Manual,F,M,1,1,0,2,56641,2017-03-06
40,18824,0,52.46,L,2535 Park Lane,0,La Jolla,California,United States,92806,620-555-0143,1982-08-24,High School,Manual,M,M,1,0,0,1,27203,2017-03-06
41,21064,0,50.21,C,"8188, place du Tertre",0,Saint Ouen,Somme,France,80610,1 (11) 500 555-0116,1986-11-20,High School,Clerical,F,S,0,3,0,0,77098,2017-03-06
42,28532,1,53.97,R,"4757, rue Saint-Lazare",0,Paris,Seine (Paris),France,75008,1 (11) 500 555-0112,1988-12-06,Bachelors,Management,M,M,1,3,2,2,103200,2017-03-06
43,16183,0,50.85,A,9435 Vine Hill Way,0,St. Leonards,New South Wales,Australia,2065,1 (11) 500 555-0136,1984-11-04,Bachelors,Skilled Manual,F,S,0,2,0,0,53784,2017-03-06
44,25700,0,47.53,B,"2181, rue Malar",0,Saint-Denis,Seine Saint Denis,France,93400,1 (11) 500 555-0165,1974-08-18,Partial College,Manual,F,S,0,1,0,0,25826,2017-03-06
45,21746,1,50.48,A,144 Santa Monica,0,Lakewood,California,United States,90712,404-555-0118,1982-03-16,High School,Manual,M,M,1,0,1,1,30925,2017-03-06
46,26560,0,50.57,A,589 Woodcrest Drive,0,Newcastle,New South Wales,Australia,2300,1 (11) 500 555-0163,1971-06-04,Partial High School,Manual,F,M,1,1,1,2,30288,2017-03-06
47,16988,1,48.1,R,9013 Ramsay Circle,0,Oakland,California,United States,94611,621-555-0190,1985-04-19,Bachelors,Manual,M,S,0,0,0,0,34685,2017-03-06
48,18562,1,51.99,P,5745 St. Paul Way,0,Novato,California,United States,94947,160-555-0188,1989-06-16,Graduate Degree,Skilled Manual,F,M,0,1,1,1,58213,2017-03-06
49,14996,1,51.43,R,Unter Linden 934,0,Berlin,Hamburg,Germany,10210,1 (11) 500 555-0114,1995-10-14,Partial College,Management,M,S,0,0,0,0,108342,2017-03-06
50,26741,1,55.52,J,2765 Robbins Place,0,Lane Cove,New South Wales,Australia,1597,1 (11) 500 555-0197,1987-08-18,Bachelors,Professional,F,M,1,2,1,1,130385,2017-03-06
51,19490,1,50.76,D,"11, rue de Cambrai",0,Paris,Seine (Paris),France,75019,1 (11) 500 555-0167,1984-11-16,Partial College,Skilled Manual,F,S,0,2,0,0,58227,2017-03-06
52,12720,1,47.68,J,"44, rue du Départ",0,Suresnes,Hauts de Seine,France,92150,1 (11) 500 555-0115,1994-11-02,Partial College,Skilled Manual,M,S,0,1,0,0,52156,2017-03-06
53,14050,1,57.1,M,2396 Ancona Ct.,0,Cloverdale,South Australia,Australia,6105,1 (11) 500 555-0146,1986-05-16,Graduate Degree,Professional,M,S,1,2,0,0,131458,2017-03-06
54,11926,0,46.25,A,609 Power Ave.,0,Oregon City,Oregon,United States,97045,522-555-0169,1998-03-18,Partial College,Manual,M,S,0,1,0,0,33510,2017-03-06
55,28023,0,51.34,D,4645 Rossmor Parkway,0,Corvallis,Oregon,United States,97330,514-555-0198,1966-09-15,High School,Skilled Manual,F,S,1,1,0,1,56785,2017-03-06
56,22541,0,51.29,A,Im Himmelsweg 27,0,Paderborn,Hamburg,Germany,33041,1 (11) 500 555-0120,1993-12-26,Partial College,Skilled Manual,F,S,0,1,0,0,58201,2017-03-06
57,24957,1,50.98,A,8290 Margaret Ct.,0,Lakewood,California,United States,90712,869-555-0119,1965-04-21,Partial High School,Skilled Manual,F,M,1,2,1,2,55654,2017-03-06
58,11867,0,58.85,C,4268 Weaver Court,0,National City,California,United States,91950,112-555-0116,1980-04-24,High School,Manual,M,M,1,1,1,2,33167,2017-03-06
59,11929,1,52.81,A,7566 Keller Ridge Dr.,0,St. Leonards,New South Wales,Australia,2065,1 (11) 500 555-0188,1966-02-12,Partial College,Management,F,S,1,3,0,1,107883,2017-03-06
60,27994,1,53.16,L,5680 Camelback Ct.,0,Beaverton,Oregon,United States,97005,622-555-0178,1957-07-04,High School,Clerical,F,M,1,1,2,2,80056,2017-03-07
61,21068,1,49.8,B,5097 Bourton Ct.,0,Bury,England,United Kingdom,PE17,1 (11) 500 555-0119,1985-01-28,Partial High School,Skilled Manual,M,S,0,2,0,0,54577,2017-03-06
62,26332,1,59.05,W,3773 Lakefield Place,0,Lebanon,Oregon,United States,97355,116-555-0185,1986-09-26,Bachelors,Manual,M,M,0,0,1,1,36070,2017-03-06
63,20232,1,54.19,L,867 Calico Way,0,Hobart,Tasmania,Australia,7001,1 (11) 500 555-0166,1984-05-11,Bachelors,Skilled Manual,M,M,1,2,1,2,54049,2017-03-06
64,15029,0,55.8,W,5572 Running Springs Road,0,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0199,1999-06-04,Partial College,Management,M,S,0,1,0,0,112726,2017-03-06
65,28907,0,48.95,A,1156 Dublin Court,0,Runcorn,England,United Kingdom,TY31,1 (11) 500 555-0111,1971-02-19,Partial College,Manual,M,M,1,1,0,2,29749,2017-03-06
66,11887,1,55.26,A,8656 Lakespring Place,0,Coronado,California,United States,92118,149-555-0116,1978-04-05,Bachelors,Skilled Manual,M,M,1,2,2,2,56820,2017-03-06
67,16809,1,51.75,A,3910 Fawn Glen Circle,0,Redwood City,California,United States,94063,532-555-0181,1970-06-24,Partial College,Management,F,S,1,3,0,0,102647,2017-03-06
68,18033,1,51.48,W,Postfach 44 11 11,0,Solingen,Nordrhein-Westfalen,Germany,42651,1 (11) 500 555-0193,1996-05-20,Partial College,Clerical,F,S,0,2,0,0,82258,2017-03-06
69,27605,1,55.34,A,5656 Via Delaware,0,Sedro Woolley,Washington,United States,98284,455-555-0163,1977-01-22,High School,Skilled Manual,M,M,1,1,2,2,54200,2017-03-06
70,14106,1,51.97,A,9391 80th St,0,Oakland,California,United States,94611,976-555-0182,1996-01-13,Partial College,Skilled Manual,F,S,0,2,0,0,60908,2017-03-06
71,29293,1,54.5,A,7717 Amador Valley Blvd.,0,Hawthorne,Queensland,Australia,4171,1 (11) 500 555-0113,1987-06-02,Bachelors,Management,M,S,1,2,0,0,105007,2017-03-06
72,17669,1,48.12,N,8490 Longbrood Way,0,Sedro Woolley,Washington,United States,98284,196-555-0192,1976-10-10,High School,Manual,F,M,1,0,1,1,32319,2017-03-06
73,23540,0,57.27,A,324 Mepham Dr.,0,Gold Coast,Queensland,Australia,4217,1 (11) 500 555-0119,1982-02-05,Partial College,Skilled Manual,M,S,0,1,0,0,52311,2017-03-06
74,19710,0,54.25,S,7886 Ruth Drive,0,Port Hammond,British Columbia,Canada,V6B 3P7,223-555-0195,1980-10-07,Partial College,Clerical,F,S,1,2,0,0,82851,2017-03-06
75,21495,0,53.22,A,8225 Hidden Oak Ct,0,Olympia,Washington,United States,98501,525-555-0165,1971-08-02,High School,Manual,M,M,1,1,2,2,29111,2017-03-06
76,14773,1,52.19,A,"7, route de Marseille",0,Villeneuve-d'Ascq,Nord,France,59491,1 (11) 500 555-0136,1988-04-27,Graduate Degree,Clerical,M,M,1,1,1,1,81985,2017-03-06
77,29082,0,46.19,L,868 Aspen Dr.,0,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0143,1969-01-22,Partial High School,Manual,F,S,1,0,0,0,33954,2017-03-06
78,14021,0,45.76,A,2676 Santa Fe Street,0,Kirkland,Washington,United States,98033,590-555-0195,1995-11-02,Partial College,Manual,F,S,0,0,0,0,29016,2017-03-06
79,23689,1,50.02,D,7034 Carson,0,West Covina,California,United States,91791,155-555-0190,1967-02-26,High School,Manual,F,M,1,0,1,2,33152,2017-03-06
80,13485,1,53.77,J,288 Almaden Dr.,0,Chula Vista,California,United States,91910,599-555-0119,1957-10-25,Graduate Degree,Clerical,M,M,1,1,2,2,80331,2017-03-06
81,14179,0,51.62,J,Lützowplatz 5538,0,Braunschweig,Nordrhein-Westfalen,Germany,38001,1 (11) 500 555-0140,1966-04-26,Bachelors,Clerical,F,S,1,1,1,1,79235,2017-03-06
82,15084,0,50.42,A,Winterfeldtstr 2529,0,Kassel,Hessen,Germany,34117,1 (11) 500 555-0186,1989-09-20,Graduate Degree,Manual,F,S,0,1,0,0,35390,2017-03-06
83,27193,0,52.17,V,6885 Auburn,0,Lincoln Acres,California,United States,91950,623-555-0156,1994-05-18,Graduate Degree,Professional,M,S,0,3,0,0,136457,2017-03-06
84,20423,0,53.1,H,7405 Jacqueline Drive,0,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0147,1972-10-10,High School,Skilled Manual,F,S,1,1,0,0,53549,2017-03-06
85,18300,1,50.64,L,3381 Paso Nogal,0,Cloverdale,South Australia,Australia,6105,1 (11) 500 555-0148,1981-07-12,Partial College,Clerical,F,M,1,0,1,2,85674,2017-03-06
86,21781,1,52.48,A,2096 Trinity Ave.,0,Lynnwood,Washington,United States,98036,432-555-0138,1967-06-22,Bachelors,Professional,M,M,1,3,0,2,129242,2017-03-06
87,28780,1,52.85,L,1874 Orchid Ct,0,Seattle,Washington,United States,98104,844-555-0182,1976-01-07,Partial High School,Skilled Manual,F,M,1,1,2,2,61829,2017-03-06
88,25162,1,59.52,D,9634 S. Silver Spring,0,Torrance,California,United States,90505,729-555-0131,1984-11-11,Bachelors,Management,M,S,1,3,0,0,111980,2017-03-06
89,11345,1,53.81,A,"6, rue de l´Esplanade",0,Tremblay-en-France,Seine Saint Denis,France,93290,1 (11) 500 555-0111,1977-03-12,Partial College,Management,F,S,1,3,0,0,106648,2017-03-06
90,22539,0,52.65,D,3001 Mt. Etna,0,Woolston,England,United Kingdom,WA1 4SY,1 (11) 500 555-0177,1993-03-11,Partial High School,Skilled Manual,M,S,0,1,0,0,58037,2017-03-06
91,26226,1,51.69,C,Zimmerstr 57,0,München,Nordrhein-Westfalen,Germany,80074,1 (11) 500 555-0182,1992-11-22,Partial College,Management,F,M,1,2,0,1,106062,2017-03-06
92,22654,0,56.39,A,"8, rue de la Comédie",0,Colombes,Hauts de Seine,France,92700,1 (11) 500 555-0112,1985-09-22,High School,Manual,M,S,0,1,0,0,28008,2017-03-06
93,20389,0,50.62,A,5627 Crystal Avenue,0,Ballard,Washington,United States,98107,461-555-0172,1960-02-05,Graduate Degree,Clerical,M,M,1,2,0,3,86828,2017-03-06
94,27716,1,57.61,E,9993 Oak Grove Rd.,0,Lavender Bay,New South Wales,Australia,2060,1 (11) 500 555-0145,1981-10-03,Partial College,Skilled Manual,M,S,0,2,0,0,61109,2017-03-06
95,23670,0,47.02,D,6985 Matterhorn Ct,0,Salem,Oregon,United States,97301,647-555-0186,1958-12-05,Graduate Degree,Manual,F,M,1,1,1,2,35142,2017-03-06
96,28410,0,48.54,R,466 Ranch Road,0,Bracknell,England,United Kingdom,RG12 8TB,1 (11) 500 555-0121,1997-04-21,High School,Skilled Manual,F,M,0,2,0,0,59673,2017-03-06
97,21755,1,56.63,R,2581 Browse Ct,0,Coronado,California,United States,92118,703-555-0112,1963-03-24,Bachelors,Professional,M,M,1,3,1,2,133272,2017-03-06
98,12254,0,50.09,A,"100, rue des Rosiers",0,Pantin,Seine Saint Denis,France,93500,1 (11) 500 555-0134,1963-02-26,Partial College,Clerical,M,S,1,3,0,1,81957,2017-03-06
99,17082,0,52.78,W,Moritzstr 32,0,Hamburg,Hamburg,Germany,20354,1 (11) 500 555-0129,1994-05-23,Partial College,Management,F,S,0,1,0,0,103314,2017-03-06
100,25122,1,51.61,L,5527 Liscome Way,0,Bendigo,Victoria,Australia,3550,1 (11) 500 555-0167,1987-03-16,Graduate Degree,Management,F,S,1,2,0,0,103546,2017-03-06
101,25619,1,48.05,C,"65, avenue du Port",0,Tremblay-en-France,Seine Saint Denis,France,93290,1 (11) 500 555-0176,1988-03-23,Bachelors,Skilled Manual,M,M,0,0,1,1,58317,2017-03-06
102,24940,0,48.53,A,7559 Worth Ct.,0,Concord,California,United States,94519,327-555-0191,1960-06-26,Bachelors,Skilled Manual,M,M,1,2,0,2,55825,2017-03-06
103,13117,0,48.33,A,9236 Hanson Lane,0,Sydney,New South Wales,Australia,1002,1 (11) 500 555-0122,1986-01-11,Graduate Degree,Manual,F,S,0,1,0,0,36367,2017-03-06
104,12460,1,54.89,A,9838 Westchester Pl.,0,London,England,United Kingdom,W1Y 3RA,1 (11) 500 555-0140,1988-11-23,Bachelors,Management,F,S,0,2,0,0,107852,2017-03-06
105,13619,0,51.31,A,6111 Guadalajara,0,Rhodes,New South Wales,Australia,2138,1 (11) 500 555-0173,1996-05-11,Bachelors,Management,M,M,1,0,0,0,105888,2017-03-06
106,23455,0,50.51,R,4217 Fairlane Place,0,Royal Oak,British Columbia,Canada,V8X,884-555-0158,1976-03-14,Partial High School,Manual,M,S,0,1,0,0,31956,2017-03-06
107,20986,1,50.25,L,9669 Alhambra Court,0,Brisbane,Queensland,Australia,4000,1 (11) 500 555-0171,1997-04-27,High School,Clerical,F,M,0,0,0,0,83026,2017-03-06
108,26141,1,56.85,A,3632 Ramsay Circle,0,Townsville,Queensland,Australia,4810,1 (11) 500 555-0125,1986-09-27,Graduate Degree,Management,M,S,1,2,0,0,110808,2017-03-06
109,19074,1,50.94,A,"9967, rue de Terre Neuve",0,Colomiers,Garonne (Haute),France,31770,1 (11) 500 555-0174,1968-05-11,Partial High School,Skilled Manual,F,M,1,1,2,2,51566,2017-03-06
110,23214,1,54.67,W,6781 San Jose Ave,0,Lemon Grove,California,United States,91945,863-555-0157,1983-11-21,Bachelors,Professional,F,M,1,3,1,2,132962,2017-03-06
111,11313,1,55.61,A,4697 Yosemite Dr.,0,Port Orchard,Washington,United States,98366,120-555-0129,1973-02-27,Graduate Degree,Professional,M,S,1,2,0,0,135064,2017-03-06
112,26113,1,54.2,L,3598 Walnut Place,0,Oak Bay,British Columbia,Canada,V8P,177-555-0164,1973-03-13,Graduate Degree,Professional,F,S,1,2,0,0,135997,2017-03-06
113,15865,0,49.68,M,2807 Charlotte Court,0,Palo Alto,California,United States,94303,806-555-0193,1991-04-14,High School,Skilled Manual,F,S,0,1,0,0,57770,2017-03-06
114,25060,0,54.55,R,6472 Loveridge Circle,0,Coronado,California,United States,92118,854-555-0195,1993-01-17,Bachelors,Management,M,S,0,1,0,0,113290,2017-03-06
115,17902,0,54.11,D,Welt Platz 2,0,Stuttgart,Saarland,Germany,70511,1 (11) 500 555-0118,1962-03-04,Partial College,Clerical,F,M,1,1,1,2,81214,2017-03-06
116,27898,0,49.58,A,"4, rue Philibert-Delorme",0,Saint Germain en Laye,Yveline,France,78100,1 (11) 500 555-0169,1980-06-08,Bachelors,Clerical,F,M,1,2,0,2,80624,2017-03-06
117,19921,0,53.03,L,Postfach 66 07 00,0,München,Hamburg,Germany,80074,1 (11) 500 555-0110,1966-02-05,Bachelors,Management,F,S,1,2,0,1,106908,2017-03-06
118,21186,0,56.24,Z,2168 Terra Calitina,0,Brisbane,Queensland,Australia,4000,1 (11) 500 555-0144,1985-02-04,Bachelors,Skilled Manual,M,S,0,1,0,0,51796,2017-03-06
119,19129,1,52.27,A,1673 Kiska Court,0,Los Angeles,California,United States,90012,198-555-0191,1990-10-24,Graduate Degree,Clerical,M,M,1,2,1,2,80764,2017-03-06
120,25626,0,47.28,R,149 Valley Blvd.,0,Gateshead,England,United Kingdom,GA10,1 (11) 500 555-0117,1984-05-21,Partial High School,Manual,F,M,0,0,0,1,35297,2017-03-06
121,15009,0,51.54,A,3175 Olivera Rd.,0,Redmond,Washington,United States,98052,312-555-0187,1997-06-10,Partial College,Clerical,F,S,0,1,0,0,78604,2017-03-06
